"City","Population","Violent
crime","Murder and 
nonnegligent 
manslaughter","Forcible 
rape","Robbery","Aggravated 
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Starke","6,011","33","0","1","4","28","176","15","150","11","0"
"St. Augustine","12,476","111","0","9","10","92","772","127","597","48","1"
"St. Augustine Beach","6,400","12","0","1","2","9","234","44","183","7","0"
"St. Cloud","29,604","152","0","7","22","123","902","267","612","23","4"
"St. Pete Beach","9,925","39","0","3","6","30","580","208","359","13","0"
"St. Petersburg","244,933","3,334","11","112","907","2,304","17,198","4,366","10,575","2,257","100"
"Stuart","16,000","70","3","2","22","43","750","120","611","19","2"
"Sunny Isles Beach","16,438","29","0","2","6","21","507","87","400","20","0"
"Sunrise","88,936","292","4","14","113","161","3,963","742","3,004","217","8"
"Surfside","4,480","27","0","0","1","26","175","26","142","7","1"
"Sweetwater","12,952","34","0","3","9","22","230","46","106","78","0"
"Tallahassee","174,183","1,647","6","120","474","1,047","8,438","3,125","4,975","338","32"
"Tamarac","59,280","227","0","14","91","122","1,354","337","912","105","0"
"Tampa","345,233","2,597","20","80","909","1,588","12,960","3,501","8,098","1,361","150"
"Tarpon Springs","23,628","189","0","10","40","139","731","157","541","33","5"
"Tavares","14,227","44","1","2","8","33","234","41","168","25","0"
"Temple Terrace","22,713","124","0","4","51","69","877","328","498","51","0"
"Tequesta","5,757","6","0","2","1","3","61","13","47","1","0"
"Titusville","45,197","266","4","25","55","182","1,735","439","1,109","187","12"
"Treasure Island","7,454","22","1","9","3","9","322","53","259","10","0"
"Trenton","1,889","4","0","0","2","2","67","19","43","5","0"
"Umatilla","3,107","28","0","0","5","23","86","3","81","2","0"
"Valparaiso","5,991","10","0","2","0","8","34","11","21","2","0"
"Venice","21,236","47","0","11","4","32","650","140","492","18","1"
"Vero Beach","16,908","89","1","1","25","62","557","125","413","19","0"
"Village of Pinecrest","18,565","28","0","0","13","15","640","79","538","23","0"
"Virginia Gardens","2,150","1","0","0","0","1","31","7","18","6","0"
"Wauchula","4,522","15","0","1","2","12","217","80","131","6","0"
"Webster","924","7","0","0","0","7","33","13","19","1","0"
"Welaka","818","0","0","0","0","0","2","0","2","0","0"
"Wellington","56,588","134","0","11","41","82","1,901","399","1,412","90","4"
"West Melbourne","16,034","48","0","1","14","33","595","210","357","28","1"
"West Miami","5,497","19","0","0","5","14","174","53","93","28","0"
"Weston","63,564","38","0","2","7","29","948","133","779","36","1"
"West Palm Beach","100,763","905","19","42","376","468","5,365","1,291","3,645","429","11"
"West Park","14,417","116","0","2","41","73","590","214","322","54","4"
"White Springs","830","6","0","0","0","6","23","4","18","1","0"
"Wildwood","3,809","29","0","6","3","20","187","61","121","5","1"
"Williston","2,979","50","0","1","1","48","88","22","64","2","1"
"Wilton Manors","12,603","58","1","1","29","27","728","217","473","38","1"
"Windermere","2,582","1","0","0","0","1","30","1","29","0","0"
"Winter Garden","31,554","172","1","4","46","121","1,174","203","890","81","4"
"Winter Haven","34,103","289","3","27","92","167","1,966","475","1,388","103","20"
"Winter Park","27,917","78","0","2","33","43","1,082","282","755","45","2"
"Winter Springs","32,846","62","0","8","9","45","541","129","379","33","0"
"Zephyrhills","13,377","63","0","10","19","34","819","190","602","27","1"
"Zolfo Springs","1,708","2","0","0","1","1","40","20","19","1","0"
