"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"St. Francis","7,568","","0","","0","8","184","22","159","3","3"
"Stillwater","18,168","","2","","3","7","447","51","383","13","2"
"St. James","4,241","","0","","0","5","121","24","92","5","1"
"St. Louis Park","45,613","","0","","30","22","1,455","239","1,166","50","8"
"St. Paul","280,194","2,137","13","165","694","1,265","11,431","2,929","6,713","1,789","145"
"St. Paul Park2","5,256","","0","","3","7","","49","","10","1"
"St. Peter","11,103","","1","","2","13","289","50","237","2","0"
"Thief River Falls","8,482","","0","","2","7","202","24","168","10","0"
"Two Harbors","3,252","","0","","0","4","60","9","47","4","1"
"Virginia","8,409","","1","","2","36","442","65","370","7","3"
"Wabasha","2,511","","0","","0","0","74","9","61","4","0"
"Wadena","3,947","","0","","1","8","110","8","100","2","0"
"Waite Park","6,809","","0","","5","15","567","28","525","14","0"
"Warroad","1,650","","0","","0","1","43","8","35","0","0"
"Waseca","9,416","","0","","1","9","223","22","184","17","0"
"Wayzata","3,859","","0","","0","1","110","10","95","5","0"
"Wells","2,319","","0","","0","1","39","11","27","1","0"
"West Hennepin","5,550","","0","","0","1","64","9","53","2","0"
"West St. Paul","18,871","","0","","26","20","1,210","107","1,048","55","1"
"Wheaton","1,402","","1","","0","1","33","10","19","4","0"
"White Bear Lake","24,068","","0","","9","16","915","179","681","55","17"
"Willmar","17,698","","0","","4","32","716","66","629","21","1"
"Windom","4,165","","0","","0","5","119","18","99","2","2"
"Winnebago","1,319","","0","","0","1","39","13","24","2","0"
"Winona","26,752","","0","","9","27","489","57","410","22","2"
"Winsted","2,455","","0","","0","9","37","7","29","1","0"
"Woodbury","57,259","","0","","7","22","1,397","266","1,078","53","4"
"Worthington","11,013","","0","","7","17","361","97","253","11","1"
"Wyoming","3,889","","0","","1","3","142","9","131","2","0"
"Zumbrota","3,104","","0","","0","0","54","5","44","5","0"
