"City","Population","Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson"
"Norwalk","83,198","425","1","10","157","257","1,786","314","1,269","203","8"
"Norwich","36,418","165","2","25","44","94","1,079","215","797","67","6"
"Old Saybrook","10,537","6","0","0","2","4","228","25","194","9","0"
"Orange","13,843","10","0","0","10","0","447","50","387","10","0"
"Plainfield","15,519","7","0","0","2","5","97","46","47","4","0"
"Plainville","17,221","12","1","2","6","3","666","89","540","37","1"
"Plymouth","12,003","5","0","0","2","3","190","44","138","8","0"
"Portland","9,642","10","0","0","3","7","82","13","63","6","0"
"Putnam","9,342","28","0","7","5","16","167","33","126","8","1"
"Redding","8,855","1","0","0","0","1","48","9","38","1","0"
"Ridgefield","24,046","4","0","0","0","4","67","7","60","0","0"
"Rocky Hill","18,948","11","0","1","7","3","307","48","248","11","2"
"Seymour","16,340","17","0","7","3","7","225","66","149","10","0"
"Shelton","40,195","31","0","2","18","11","495","97","346","52","0"
"Simsbury","23,654","3","0","0","1","2","201","36","156","9","0"
"Southington","42,523","23","0","4","11","8","759","107","612","40","9"
"South Windsor","26,139","9","0","3","2","4","429","62","353","14","1"
"Stamford","119,507","353","2","31","151","169","2,143","370","1,600","173","8"
"Stonington","18,420","11","0","4","4","3","258","28","223","7","0"
"Stratford","48,726","162","0","11","74","77","1,425","215","1,057","153","8"
"Suffield","15,317","13","0","1","7","5","162","88","63","11","0"
"Thomaston","7,792","2","0","0","0","2","121","24","87","10","0"
"Torrington","35,321","70","0","14","8","48","765","119","618","28","0"
"Trumbull","34,731","23","0","5","13","5","798","108","610","80","1"
"Vernon","30,038","31","1","5","9","16","376","105","244","27","7"
"Wallingford","45,059","22","0","7","4","11","775","90","646","39","5"
"Waterbury","107,007","375","6","15","174","180","5,635","749","4,422","464","0"
"Waterford","18,808","51","0","3","10","38","602","51","542","9","0"
"Watertown","22,139","36","0","6","5","25","361","65","288","8","0"
"West Hartford","60,430","84","1","6","40","37","1,708","292","1,323","93","2"
"West Haven","52,425","380","1","0","57","322","1,532","241","1,092","199","12"
"Weston","10,196","2","0","0","0","2","61","6","53","2","1"
"Westport","26,681","23","0","1","7","15","337","56","270","11","2"
"Wethersfield","25,656","20","0","5","8","7","476","74","369","33","1"
"Willimantic","16,346","65","0","6","31","28","526","124","365","37","2"
"Wilton","17,701","3","0","0","2","1","104","15","87","2","0"
"Winchester","10,721","23","0","4","3","16","214","60","146","8","1"
"Windsor","28,915","16","0","7","6","3","578","86","464","28","0"
"Windsor Locks","12,543","11","1","4","1","5","288","56","205","27","2"
"Wolcott","16,571","5","0","0","1","4","263","41","202","20","1"
"Woodbridge","9,215","9","0","0","6","3","142","37","101","4","0"
