"City","Population","Violent 
crime","Murder and 
nonnegligent 
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor 
vehicle
theft","Arson1"
"Hoboken","528","1","0","0","0","1","3","0","3","0","0"
"Holly Springs","9,753","5","1","0","0","4","125","34","88","3","0"
"Irwinton","583","0","0","0","0","0","1","0","1","0","0"
"Ivey","1,064","0","0","0","0","0","2","0","0","2","0"
"Jackson","4,556","4","0","0","2","2","123","26","89","8","0"
"Jefferson","8,531","26","0","4","5","17","174","45","115","14",""
"Jesup","10,600","31","0","1","16","14","577","151","409","17","0"
"Johns Creek","59,305","52","0","4","27","21","773","197","551","25","5"
"Jonesboro","4,167","45","0","0","8","37","147","37","95","15","0"
"Kennesaw","33,060","30","0","3","8","19","609","107","469","33","0"
"Keysville","246","0","0","0","0","0","1","0","1","0","0"
"Kingsland","14,049","97","1","7","12","77","492","106","371","15","0"
"Kingston","670","3","0","0","1","2","5","1","3","1","0"
"Lafayette","7,632","42","2","3","10","27","379","82","284","13","1"
"Lagrange","28,634","157","5","12","73","67","1,779","398","1,300","81","8"
"Lake City","2,661","13","0","0","9","4","218","28","152","38",""
"Lavonia","2,102","5","0","0","2","3","92","14","77","1",""
"Lawrenceville","30,046","87","0","7","45","35","1,188","265","852","71","0"
"Leesburg","2,987","15","0","11","4","0","93","22","69","2",""
"Lilburn","11,625","51","0","4","31","16","543","127","381","35","2"
"Lincolnton","1,523","24","0","0","0","24","43","11","30","2","0"
"Locust Grove","5,151","7","0","0","4","3","303","44","248","11","0"
"Loganville","11,291","20","1","4","6","9","334","50","266","18","2"
"Lookout Mountain","1,515","0","0","0","0","0","4","3","1","0","0"
"Ludowici","1,568","10","0","0","1","9","74","32","37","5",""
"Lumber City","1,175","6","0","1","0","5","17","1","15","1","0"
"Lumpkin","1,205","13","0","0","3","10","21","11","10","0","0"
"Macon","92,299","704","18","28","342","316","7,118","1,814","4,679","625","80"
"Madison","3,959","12","0","0","2","10","180","47","126","7","0"
"Manchester","3,755","16","0","2","1","13","245","70","163","12","0"
"Marietta","68,037","433","2","17","194","220","2,530","610","1,725","195",""
"McCaysville","977","1","0","0","0","1","6","3","3","0","0"
"McDonough","21,635","166","1","4","15","146","713","124","544","45","2"
"McIntyre","712","2","0","0","0","2","31","7","22","2","0"
"McRae","4,647","29","0","0","1","28","115","39","69","7","0"
"Midville","451","1","0","0","0","1","0","0","0","0","0"
"Midway","1,034","13","0","0","2","11","55","23","31","1","0"
"Milledgeville","20,922","80","2","6","19","53","1,001","258","719","24","3"
"Millen","3,445","44","0","0","6","38","81","24","54","3","0"
"Milton","15,134","12","0","1","6","5","390","92","274","24","2"
"Molena","473","0","0","0","0","0","0","0","0","0","0"
"Monroe","13,607","76","1","7","18","50","594","172","400","22","2"
"Montezuma","3,839","25","0","1","3","21","142","44","90","8","1"
"Morrow","5,575","41","0","1","29","11","1,040","69","909","62","1"
"Moultrie","15,515","126","1","7","54","64","1,323","320","970","33","8"
"Mountain City","737","1","0","0","0","1","9","2","7","0","0"
"Mount Airy","1,209","2","0","0","0","2","19","6","12","1",""
"Mount Zion","1,612","1","0","0","0","1","7","2","5","0","0"
"Nashville","4,884","22","0","2","4","16","198","81","112","5","1"
"Newnan","32,645","149","2","2","30","115","1,058","213","791","54","3"
"Newton","794","0","0","0","0","0","6","6","0","0","0"
"Nicholls","2,846","1","0","0","0","1","40","7","31","2","0"
"Norcross","11,031","88","1","0","48","39","472","148","258","66","3"
"Oakwood","4,531","16","0","0","3","13","161","29","122","10",""
"Oxford","2,631","3","0","1","1","1","39","11","24","4","0"
"Palmetto","5,242","31","0","0","1","30","133","59","63","11",""
"Patterson","687","6","0","0","0","6","14","7","7","0","0"
"Peachtree City","35,147","18","0","4","4","10","643","44","513","86","0"
"Pearson","1,966","16","0","1","2","13","121","19","101","1","0"
"Pembroke","2,565","19","0","2","3","14","113","39","70","4",""
"Perry","13,358","52","0","1","9","42","391","59","311","21",""
"Pine Mountain","1,323","5","0","0","1","4","56","10","45","1",""
"Pineview","516","1","0","0","0","1","1","1","0","0","0"
"Pooler","16,223","28","0","3","9","16","625","101","479","45",""
"Portal","609","0","0","0","0","0","0","0","0","0","0"
"Porterdale","1,909","8","0","1","1","6","40","30","8","2","0"
"Port Wentworth","4,744","4","0","0","3","1","138","32","89","17","2"
"Powder Springs","15,947","41","0","2","14","25","367","131","210","26","0"
"Quitman","4,616","105","1","3","15","86","255","81","162","12","0"
"Ray City","803","3","0","0","0","3","28","7","21","0","0"
"Richmond Hill","11,096","10","0","2","6","2","354","58","279","17","0"
"Rincon","8,424","3","0","1","1","1","210","55","146","9","1"
"Ringgold","2,822","5","0","0","3","2","196","20","165","11","0"
"Riverdale","15,619","122","1","9","49","63","971","330","528","113","1"
"Roberta","748","3","0","0","2","1","56","12","42","2","3"
"Rockmart","4,622","20","0","2","3","15","169","37","117","15","0"
"Rome","36,091","211","1","22","85","103","1,876","455","1,341","80","15"
"Rossville","3,392","23","0","0","3","20","226","70","147","9",""
"Roswell","88,371","163","5","11","73","74","2,349","584","1,642","123","1"
"Royston","2,762","0","0","0","0","0","45","0","45","0","0"
"Sandersville","6,224","23","0","1","14","8","344","111","213","20","0"
"Sandy Springs","82,435","189","4","19","124","42","2,975","848","1,865","262",""
"Savannah-Chatham Metropolitan","212,711","1,128","30","46","642","410","10,654","2,652","6,867","1,135","50"
"Screven","796","0","0","0","0","0","12","3","5","4","0"
"Senoia","3,793","6","0","0","1","5","52","8","42","2","0"
"Shiloh","434","0","0","0","0","0","4","4","0","0","0"
"Sky Valley","217","0","0","0","0","0","2","1","1","0","0"
"Smyrna","50,485","293","4","6","71","212","1,834","563","1,114","157","0"
"Snellville","20,464","58","2","4","9","43","806","81","675","50",""
"Social Circle","4,940","6","0","1","0","5","94","34","55","5",""
"Sparta","1,240","14","0","0","1","13","56","25","30","1",""
"Springfield","2,158","8","0","2","1","5","84","25","53","6","0"
"Statesboro","27,682","327","1","13","62","251","1,536","380","1,100","56","2"
"Statham","3,039","27","0","1","2","24","158","37","107","14",""
"St. Marys","16,997","92","0","1","12","79","514","115","368","31","5"
"Stone Mountain","7,706","19","0","3","4","12","228","84","60","84",""
"Suwanee","17,197","22","0","3","8","11","409","70","309","30","1"
"Sylvania","2,494","10","0","1","3","6","151","26","118","7","0"
"Talbotton","964","3","0","0","0","3","21","6","15","0","0"
"Tallapoosa","3,151","4","0","0","1","3","133","25","91","17","1"
"Temple","4,801","26","0","1","1","24","126","22","95","9","0"
"Tennille","1,462","20","0","1","1","18","56","19","37","0","0"
"Thomaston","9,166","56","0","4","12","40","444","113","318","13",""
"Thomasville","19,416","70","0","7","36","27","1,025","259","727","39","6"
"Thunderbolt","2,627","13","0","1","7","5","103","32","63","8","1"
"Tifton","17,469","176","1","5","63","107","1,305","295","973","37","4"
"Tignall","611","1","0","0","0","1","10","6","4","0","0"
"Toccoa","9,130","39","1","2","11","25","351","51","294","6",""
"Trenton","2,425","3","0","1","0","2","55","8","38","9","0"
"Tybee Island","3,914","8","0","2","0","6","77","10","66","1","0"
"Tyrone","6,857","4","0","0","2","2","106","23","76","7","0"
"Union City","17,627","267","1","3","56","207","1,412","381","842","189",""
"Union Point","1,519","4","0","3","1","0","65","17","44","4","0"
"Valdosta","49,041","249","9","36","85","119","2,862","729","2,012","121","10"
"Vidalia","11,449","111","1","1","52","57","754","157","541","56",""
"Villa Rica","14,456","146","1","5","13","127","636","82","523","31",""
"Warner Robins","62,769","370","3","13","111","243","3,514","822","2,550","142","17"
"Washington","4,037","62","0","2","4","56","115","22","92","1","0"
"Watkinsville","2,983","2","0","0","1","1","56","8","47","1","0"
"Waverly Hall","789","1","0","0","0","1","4","3","1","0","0"
"Waycross3","14,712","86","2","3","47","34","1,189","217","944","28","3"
"Waynesboro","5,881","52","0","0","19","33","507","134","334","39","1"
"West Point","3,356","56","0","1","13","42","285","69","196","20","0"
"Whigham","602","0","0","0","0","0","0","0","0","0","0"
"Willacoochee","1,539","1","0","0","0","1","12","1","10","1","0"
"Winder","14,549","65","0","7","14","44","845","180","633","32","2"
"Woodbury","1,060","4","0","0","2","2","34","15","15","4","1"
"Woodstock","25,117","26","0","5","10","11","569","81","488","0","0"
"Wrens","2,205","13","0","0","3","10","142","36","101","5","0"
"Zebulon","1,257","5","0","0","0","5","41","6","34","1",""
