"City","Population","Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson1"
"Russellville","26,319","97","1","14","7","75","1,287","317","895","75","2"
"Salem","1,558","0","0","0","0","0","17","11","5","1","0"
"Searcy","21,304","58","2","7","7","42","1,110","102","983","25","0"
"Sheridan","4,495","4","0","1","0","3","119","46","71","2","0"
"Sherwood","23,703","117","0","5","21","91","857","151","633","73","2"
"Siloam Springs","14,659","27","0","11","0","16","556","76","431","49","4"
"Springdale","65,695","322","2","65","33","222","2,825","621","1,996","208","21"
"Star City","2,253","4","0","1","1","2","58","17","41","0","0"
"Stuttgart","9,197","53","1","4","9","39","543","196","331","16","2"
"Sulphur Springs","676","7","0","0","0","7","13","8","5","0","0"
"Swifton","797","0","0","0","0","0","5","1","2","2","0"
"Texarkana","30,156","447","3","20","64","360","1,548","387","1,043","118","4"
"Trumann","6,821","35","0","5","4","26","493","157","331","5","1"
"Tuckerman","1,673","2","0","0","0","2","10","6","4","0","0"
"Van Buren","22,238","63","0","7","9","47","831","202","600","29","2"
"Vilonia","3,085","5","0","0","0","5","76","22","53","1","0"
"Waldron","3,636","50","0","2","2","46","149","106","38","5","3"
"Walnut Ridge","4,631","11","0","0","0","11","80","23","52","5","1"
"Ward","3,659","17","0","3","1","13","104","25","73","6","0"
"Warren","6,182","44","1","6","5","32","135","90","38","7","0"
"Weiner","741","2","0","1","0","1","21","6","15","0","0"
"West Fork","2,259","1","0","1","0","0","39","18","19","2","0"
"West Memphis","28,137","590","3","41","187","359","2,191","882","1,193","116","25"
"White Hall","5,196","5","0","0","3","2","140","19","106","15","0"
"Wynne","8,481","42","0","3","8","31","377","140","232","5","1"
