"City","Population","Violent
crime","Murder and
nonnegligent
manslaughter","Forcible 
rape","Robbery","Aggravated 
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Centreville","2,511","11","0","0","0","11","40","8","28","4",""
"Chatom","1,172","5","0","0","0","5","18","1","17","0",""
"Cherokee","1,177","1","0","0","0","1","12","6","6","0",""
"Chickasaw","6,000","29","0","2","10","17","348","83","242","23",""
"Childersburg","4,978","41","0","0","11","30","465","71","383","11",""
"Citronelle","3,716","31","2","4","2","23","212","49","142","21",""
"Clanton","8,602","57","1","3","11","42","359","68","282","9",""
"Clayton","1,383","12","0","0","0","12","39","8","31","0",""
"Clio","2,209","0","0","0","0","0","3","0","1","2","0"
"Coffeeville","354","2","0","0","0","2","1","0","1","0","0"
"Collinsville","1,693","1","0","0","0","1","41","4","33","4",""
"Columbiana","3,809","19","0","1","1","17","129","22","106","1",""
"Coosada","1,590","2","0","0","0","2","23","2","21","0",""
"Cottonwood","1,172","2","0","0","0","2","17","4","10","3",""
"Courtland","760","0","0","0","0","0","10","3","3","4","0"
"Creola","2,084","6","0","0","1","5","75","9","62","4",""
"Crossville","1,463","0","0","0","0","0","2","1","0","1",""
"Cullman","14,914","23","0","3","6","14","899","143","704","52",""
"Dadeville","3,239","60","0","2","9","49","247","56","179","12",""
"Daleville","4,503","12","0","3","4","5","74","32","39","3",""
"Daphne","19,352","25","0","3","8","14","583","139","419","25",""
"Dauphin Island","1,568","0","0","0","0","0","9","5","3","1",""
"Decatur","56,019","251","0","28","105","118","3,624","830","2,584","210",""
"Demopolis","7,523","93","0","11","17","65","492","84","395","13",""
"Dora","2,441","6","0","2","1","3","103","17","74","12",""
"Dothan","64,931","418","8","46","190","174","3,345","790","2,369","186",""
"Double Springs","989","4","1","0","0","3","13","2","10","1",""
"Douglas","581","9","0","0","1","8","88","34","44","10",""
"Dozier","392","0","0","0","0","0","0","0","0","0",""
"East Brewton","2,512","3","0","0","1","2","55","7","43","5",""
"Eclectic","1,148","1","0","0","0","1","17","2","10","5",""
"Elba","4,136","19","0","1","5","13","131","46","82","3",""
"Elberta","591","7","0","0","2","5","78","16","54","8",""
"Enterprise","24,035","98","1","11","41","45","433","213","184","36",""
"Eutaw","3,001","27","0","1","9","17","156","46","109","1",""
"Evergreen","3,446","14","0","0","3","11","125","19","104","2",""
"Excel","605","1","0","0","0","1","17","2","14","1",""
"Fairfield","11,443","209","4","12","84","109","1,212","238","877","97",""
"Fairhope","16,735","12","0","2","6","4","344","76","257","11",""
"Falkville","1,185","2","0","1","0","1","15","5","9","1",""
"Fayette","4,694","11","0","2","4","5","211","36","159","16",""
"Flomaton","1,541","4","1","0","0","3","32","4","23","5",""
"Florala","1,904","19","0","1","2","16","77","11","63","3",""
"Florence","36,784","117","0","8","47","62","1,775","403","1,315","57","3"
"Foley","13,463","113","3","6","35","69","1,051","173","803","75",""
"Fort Payne","13,889","44","1","3","3","37","691","96","557","38",""
"Fyffe","1,045","0","0","0","0","0","3","1","2","0",""
"Gadsden","37,066","174","2","15","102","55","2,515","541","1,793","181","10"
"Gardendale","13,235","20","1","0","9","10","458","60","380","18",""
"Geneva","4,415","17","0","1","4","12","134","31","93","10",""
"Georgiana","1,593","13","0","1","2","10","59","13","43","3",""
"Geraldine","837","2","0","0","0","2","31","3","24","4",""
"Glencoe","5,311","9","0","1","2","6","106","30","71","5",""
"Goodwater","1,542","3","0","0","0","3","22","5","15","2",""
"Gordo","1,589","4","0","1","1","2","45","11","26","8",""
"Grant","692","0","0","0","0","0","9","3","5","1",""
"Graysville","2,399","0","0","0","0","0","14","7","4","3",""
"Greensboro","2,579","38","1","1","7","29","160","46","104","10","1"
"Greenville","7,067","41","1","1","7","32","491","94","380","17","0"
"Guin","2,223","3","0","0","1","2","27","9","17","1",""
"Gulf Shores","9,486","86","1","8","57","20","450","101","341","8",""
"Gurley","850","2","0","1","0","1","29","5","22","2",""
"Hackleburg","1,472","1","0","0","0","1","18","5","10","3",""
"Haleyville","4,178","46","0","2","2","42","268","57","201","10",""
"Hamilton","6,478","15","0","5","2","8","194","47","138","9","1"
"Hammondville","545","0","0","0","0","0","5","2","3","0",""
"Hanceville","3,261","10","0","1","0","9","165","41","114","10",""
"Hartford","2,401","9","0","0","2","7","147","31","110","6",""
"Hartselle","13,650","12","0","4","1","7","460","72","376","12",""
"Hayneville","1,112","10","0","0","1","9","56","34","19","3",""
"Headland","3,864","25","0","1","8","16","132","35","94","3",""
"Helena","14,429","15","0","1","0","14","110","24","84","2",""
"Henagar","2,560","7","0","1","4","2","45","9","29","7",""
"Hobson City","867","0","0","0","0","0","10","6","2","2",""
"Hokes Bluff","4,363","11","0","0","2","9","72","19","51","2",""
"Hollywood","931","0","0","0","0","0","13","1","11","1",""
"Hoover","69,527","121","0","18","71","32","2,443","372","1,910","161","1"
"Hueytown","15,816","40","1","3","14","22","430","98","297","35",""
"Huntsville","169,391","1,379","21","96","586","676","10,731","2,283","7,282","1,166","49"
"Ider","715","0","0","0","0","0","4","1","2","1",""
"Irondale","9,471","51","3","1","24","23","564","146","360","58",""
"Jasper","14,117","76","1","7","33","35","1,244","182","980","82",""
"Killen","1,123","6","0","0","0","6","78","11","67","0",""
"Kimberly","2,592","0","0","0","0","0","25","2","18","5",""
"Lafayette","3,054","43","0","1","1","41","160","37","117","6",""
"Lake View","1,982","2","0","1","1","0","80","25","50","5",""
"Leeds","11,169","67","1","2","35","29","569","119","419","31",""
"Leesburg","839","3","0","0","0","3","50","7","40","3",""
"Leighton","834","8","0","0","1","7","32","7","23","2",""
"Level Plains","1,516","13","0","0","0","13","68","17","45","6","0"
"Lexington","832","0","0","0","0","0","10","4","6","0",""
"Linden","2,326","4","0","0","2","2","34","7","24","3",""
"Lineville","2,370","46","0","1","1","44","44","7","33","4","0"
"Lipscomb","2,265","0","0","0","0","0","1","0","1","0",""
"Littleville","947","1","0","0","0","1","38","4","32","2",""
"Livingston","2,961","10","1","2","3","4","126","35","85","6",""
"Louisville","569","1","0","0","0","1","9","3","6","0",""
"Loxley","1,587","10","1","2","2","5","78","21","52","5",""
"Maplesville","686","5","0","0","1","4","33","7","24","2",""
"Marion","3,373","35","0","1","1","33","202","40","151","11",""
"McIntosh","237","5","0","0","0","5","31","7","24","0",""
"McKenzie","612","0","0","0","0","0","9","2","7","0",""
"Midfield","5,196","41","0","1","20","20","469","144","296","29",""
"Midland City","1,839","15","0","1","5","9","67","20","44","3","0"
"Millry","601","1","0","0","0","1","4","0","4","0",""
"Mobile2","253,842","1,144","38","23","750","333","14,136","3,650","9,361","1,125","134"
"Monroeville","6,538","78","1","0","15","62","466","103","329","34","10"
"Montgomery","202,062","1,157","46","54","652","405","12,843","3,317","8,579","947","53"
"Moody","12,402","5","0","0","5","0","332","56","237","39","0"
"Morris","1,910","0","0","0","0","0","33","10","21","2",""
"Moundville","2,399","10","0","0","1","9","75","7","60","8",""
"Mountain Brook","20,952","6","0","0","5","1","395","65","325","5",""
"Mount Vernon","821","6","0","0","0","6","15","5","8","2",""
"Napier Field","397","0","0","0","0","0","4","1","3","0",""
"New Brockton","1,216","0","0","0","0","0","41","8","29","4",""
"New Hope","2,709","9","0","0","1","8","61","20","39","2",""
"Newton","1,663","5","0","0","2","3","34","7","22","5",""
"North Courtland","794","0","0","0","0","0","1","0","1","0",""
"Northport","22,201","128","2","5","54","67","1,135","248","798","89",""
"Notasulga","833","0","0","0","0","0","25","9","14","2",""
"Oakman","945","4","0","1","1","2","21","5","13","3",""
"Ohatchee","1,230","0","0","0","0","0","68","32","29","7",""
"Oneonta","6,860","21","1","2","1","17","268","21","235","12",""
"Opelika","24,600","308","5","36","62","205","1,551","284","1,224","43",""
"Opp","6,701","22","1","1","2","18","226","26","198","2","0"
"Orange Beach","5,810","8","0","1","4","3","384","66","307","11",""
"Oxford","20,396","112","1","11","48","52","1,232","230","936","66",""
"Ozark","14,656","118","3","9","19","87","716","147","503","66",""
"Parrish","1,260","7","0","1","1","5","48","6","40","2",""
"Pelham","21,060","35","0","3","22","10","550","41","475","34",""
"Pell City","12,256","78","2","10","13","53","551","106","421","24",""
"Pennington","327","0","0","0","0","0","4","3","1","0",""
"Phenix City","30,309","113","3","6","52","52","1,286","385","703","198",""
"Phil Campbell","1,046","2","0","0","0","2","24","2","21","1",""
"Pickensville","646","0","0","0","0","0","10","3","5","2",""
"Piedmont","4,998","3","0","1","1","1","263","42","221","0",""
"Pine Hill","914","4","1","0","0","3","7","2","4","1",""
"Pisgah","702","0","0","0","0","0","2","0","2","0",""
"Powell","976","0","0","0","0","0","13","2","11","0",""
"Prattville","31,949","90","1","9","33","47","1,301","255","984","62",""
"Priceville","2,503","5","0","0","0","5","63","7","50","6",""
"Prichard","28,087","255","14","9","98","134","1,353","391","738","224",""
"Ragland","2,082","6","1","2","0","3","39","9","27","3",""
"Rainbow City","9,079","1","0","0","1","0","239","40","194","5",""
"Rainsville","4,923","12","0","0","0","12","142","20","117","5",""
"Ranburne","482","1","0","0","0","1","17","1","12","4",""
"Red Bay","3,283","5","0","0","0","5","70","12","55","3",""
"Red Level","555","0","0","0","0","0","3","3","0","0",""
"Reform","1,834","17","0","0","6","11","71","28","43","0",""
"Robertsdale","4,976","29","4","3","4","18","152","28","120","4",""
"Rockford","396","0","0","0","0","0","0","0","0","0",""
"Rogersville","1,190","4","0","0","1","3","60","19","36","5",""
"Russellville","8,842","18","0","7","1","10","75","20","47","8",""
"Samson","2,027","6","0","1","3","2","17","4","11","2",""
"Sardis City","2,101","3","0","0","0","3","65","19","43","3",""
"Satsuma","6,032","9","0","0","1","8","112","19","74","19",""
"Scottsboro","14,971","28","0","4","6","18","629","15","590","24",""
"Selma","19,101","314","4","27","90","193","2,371","694","1,492","185",""
"Sheffield","9,176","36","1","8","9","18","533","136","386","11",""
"Shorter","338","10","0","0","5","5","16","5","11","0",""
"Silas","487","4","0","0","1","3","4","1","2","1",""
"Silverhill","704","1","0","0","1","0","33","5","28","0",""
"Skyline","842","1","0","0","0","1","4","1","3","0",""
"Slocomb","2,040","9","0","0","1","8","24","5","18","1",""
"Somerville","471","1","0","1","0","0","32","6","24","2",""
"Southside","8,279","10","1","0","1","8","122","26","93","3",""
"Spanish Fort","5,619","11","0","1","3","7","162","25","137","0",""
"Stevenson","2,140","36","0","1","2","33","115","25","79","11",""
"St. Florian","472","2","0","0","1","1","18","9","7","2",""
"Sulligent","1,963","1","0","0","0","1","58","3","52","3",""
"Sumiton","2,578","4","0","0","4","0","334","40","269","25",""
"Summerdale","701","12","0","4","1","7","94","24","68","2",""
"Sylacauga","12,946","54","2","3","22","27","844","170","655","19",""
"Sylvania","1,267","4","0","0","0","4","24","6","17","1",""
"Thomaston","375","0","0","0","0","0","1","0","1","0",""
"Thomasville","4,558","31","3","3","3","22","261","76","178","7",""
"Thorsby","2,030","0","0","0","0","0","9","2","6","1",""
"Town Creek","1,202","0","0","0","0","0","35","4","30","1",""
"Triana","482","1","0","0","0","1","5","2","3","0",""
"Trinity","1,907","2","0","0","0","2","15","1","7","7",""
"Trussville","18,401","53","0","1","37","15","955","63","862","30",""
"Tuscaloosa","83,811","557","10","32","264","251","5,047","1,199","3,569","279",""
"Tuscumbia","8,235","6","0","1","2","3","233","30","191","12",""
"Tuskegee","11,423","130","3","6","28","93","965","368","581","16",""
"Uniontown","1,480","34","0","0","0","34","37","9","27","1",""
"Valley Head","653","1","0","0","0","1","1","0","1","0",""
"Vernon","1,898","1","0","0","0","1","20","3","16","1",""
"Vestavia Hills","31,097","22","0","5","6","11","295","92","182","21",""
"Warrior","2,982","0","0","0","0","0","1","1","0","0",""
"Weaver","2,620","6","0","0","0","6","73","28","43","2",""
"Wetumpka","7,558","20","0","5","6","9","416","73","328","15",""
"Winfield","4,711","1","0","0","0","1","139","37","94","8",""
"Woodstock","1,018","11","0","0","2","9","45","19","23","3",""
"York","2,563","16","0","0","3","13","65","14","48","3",""
