"City","Population","Violent
crime","Murder
and 
nonnegligent 
manslaughter","Forcible 
rape","Robbery","Aggravated 
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Madison","3,210","50","0","2","7","41","221","54","159","8","0"
"Maitland","14,130","39","1","4","21","13","398","109","252","37","3"
"Manalapan","342","1","0","0","0","1","26","5","19","2","0"
"Mangonia Park","1,259","64","1","1","29","33","292","70","184","38","0"
"Marco Island","16,235","17","1","1","0","15","172","22","142","8","0"
"Margate","56,261","215","0","7","55","153","966","221","658","87","5"
"Marianna","6,293","104","0","3","13","88","296","82","202","12","3"
"Mascotte","5,485","22","0","1","0","21","106","31","60","15","2"
"Medley","1,043","20","0","1","6","13","401","111","253","37","3"
"Melbourne","77,678","787","2","15","174","596","3,942","926","2,741","275","14"
"Melbourne Beach","3,208","2","0","0","0","2","52","15","36","1","0"
"Melbourne Village","680","0","0","0","0","0","13","4","8","1","0"
"Mexico Beach","1,339","1","0","0","0","1","79","18","50","11","0"
"Miami","410,252","6,119","78","57","2,537","3,447","21,183","4,829","12,478","3,876","175"
"Miami Beach","86,742","1,072","4","58","448","562","7,805","1,354","5,607","844","11"
"Miami Gardens","98,762","1,905","24","61","686","1,134","7,606","1,668","4,904","1,034","15"
"Miami Lakes","22,139","92","0","0","33","59","1,022","119","755","148","0"
"Miami Shores","9,814","65","0","1","39","25","704","212","430","62","1"
"Miami Springs","12,860","45","0","3","22","20","511","104","350","57","1"
"Milton","8,257","53","0","3","5","45","426","80","339","7","0"
"Minneola","9,646","21","0","1","0","20","151","48","91","12","0"
"Miramar","114,029","598","7","26","202","363","3,812","1,038","2,274","500","10"
"Monticello","2,565","29","0","2","3","24","31","21","7","3","2"
"Mount Dora","11,897","121","0","6","33","82","588","162","373","53","2"
"Mulberry","3,192","35","1","5","5","24","257","86","149","22","4"
"Naples","22,109","49","0","2","9","38","858","126","713","19","2"
"Neptune Beach","6,833","33","0","2","12","19","337","61","253","23","1"
"New Port Richey","17,393","161","4","9","27","121","967","307","607","53","4"
"New Smyrna Beach","23,067","138","1","8","24","105","814","214","548","52","1"
"Niceville","12,354","42","0","5","4","33","202","53","140","9","1"
"North Bay Village","8,279","10","0","1","4","5","211","36","145","30","0"
"North Lauderdale","42,767","308","2","14","101","191","1,004","248","656","100","5"
"North Miami","57,368","783","9","30","391","353","4,093","857","2,748","488","11"
"North Miami Beach","38,790","465","0","28","225","212","2,292","677","1,478","137","12"
"North Palm Beach","12,509","30","0","1","14","15","251","64","161","26","1"
"North Port","56,539","119","3","16","20","80","1,730","483","1,190","57","6"
"North Redington Beach","1,506","7","0","1","1","5","40","9","31","0","0"
"Oak Hill","1,596","18","0","1","0","17","30","16","11","3","0"
"Oakland","1,128","10","0","0","2","8","69","30","33","6","0"
"Oakland Park","42,486","498","1","18","188","291","2,350","492","1,631","227","3"
"Ocala","53,490","633","6","40","178","409","3,444","747","2,503","194","10"
"Ocean Ridge","1,678","1","0","0","0","1","58","12","38","8","0"
"Ocoee","31,604","199","1","8","58","132","1,545","317","1,062","166","9"
"Okeechobee","6,010","22","0","0","3","19","293","40","229","24","0"
"Oldsmar","13,656","68","0","12","14","42","669","152","486","31","1"
"Opa Locka","15,695","546","12","7","285","242","1,616","745","595","276","1"
"Orange City","9,485","80","0","1","26","53","840","102","688","50","1"
"Orange Park","9,108","56","0","5","11","40","283","55","199","29","2"
"Orlando","224,417","4,269","39","162","1,534","2,534","19,181","4,164","12,778","2,239","60"
"Ormond Beach","38,792","107","0","5","30","72","1,278","245","959","74","3"
"Oviedo","31,269","68","3","3","11","51","535","121","393","21","2"
"Pahokee","6,656","137","1","7","17","112","300","70","207","23","3"
"Palatka","11,130","190","3","13","33","141","998","218","739","41","4"
"Palm Bay","100,666","617","5","28","104","480","2,808","881","1,726","201","46"
"Palm Beach","9,738","7","0","1","1","5","186","28","148","10","0"
"Palm Beach Gardens","51,053","129","1","10","45","73","1,652","256","1,276","120","0"
"Palm Beach Shores","1,523","5","0","0","2","3","53","10","32","11","0"
"Palmetto","14,188","320","1","12","76","231","775","208","513","54","2"
"Palmetto Bay","23,287","99","1","4","34","60","1,058","150","822","86","0"
"Palm Springs","15,720","94","0","6","43","45","971","286","555","130","5"
"Panama City","36,840","366","7","32","90","237","2,271","399","1,734","138","8"
"Panama City Beach","14,755","97","0","14","23","60","1,043","257","783","3","2"
"Parker","4,613","18","0","2","9","7","170","37","124","9","0"
"Parkland","25,062","30","0","1","5","24","307","59","240","8","0"
"Pembroke Park","4,991","83","3","2","31","47","373","59","247","67","1"
"Pembroke Pines","151,817","390","0","16","146","228","5,343","827","4,100","416","15"
"Pensacola","52,837","487","3","30","148","306","2,880","608","2,149","123","11"
"Perry","6,801","192","0","3","14","175","257","95","144","18","3"
"Pinellas Park","47,419","302","2","24","87","189","2,779","594","2,010","175","14"
"Plantation","86,346","306","4","8","149","145","4,139","750","3,098","291","5"
"Plant City","31,985","301","3","7","104","187","1,778","274","1,324","180","12"
"Pompano Beach","104,989","1,310","10","63","452","785","5,369","1,139","3,603","627","15"
"Ponce Inlet","3,294","7","0","0","1","6","45","11","32","2","0"
"Port Orange","56,155","83","2","9","22","50","1,209","227","896","86","2"
"Port Richey","3,421","16","0","1","5","10","298","59","229","10","0"
"Port St. Joe","3,627","15","0","1","0","14","74","42","31","1","0"
"Port St. Lucie","154,036","421","2","60","53","306","3,595","1,003","2,419","173","11"
"Punta Gorda","17,552","46","0","0","4","42","399","174","213","12","1"
"Redington Beaches","1,506","4","0","0","1","3","39","12","23","4","0"
"Riviera Beach","36,795","783","13","14","201","555","2,496","773","1,367","356","5"
"Rockledge","24,910","78","2","1","20","55","778","164","576","38","4"
"Royal Palm Beach","32,441","160","1","12","43","104","1,182","257","850","75","1"
"Safety Harbor","17,366","36","0","12","5","19","273","67","200","6","0"
"Sanford","50,757","313","4","21","181","107","3,103","668","2,034","401","3"
"Sanibel","5,777","0","0","0","0","0","99","24","73","2","0"
"Sarasota","52,986","588","6","28","185","369","3,516","806","2,470","240","4"
"Sea Ranch Lakes","763","0","0","0","0","0","17","0","16","1","0"
"Sebastian","20,913","64","0","4","5","55","662","198","443","21","0"
"Sebring","10,749","99","0","7","18","74","534","190","334","10","9"
"Seminole","19,330","72","0","3","12","57","644","111","508","25","0"
"Sewall's Point","2,035","0","0","0","0","0","31","12","19","0","0"
"Shalimar","712","2","0","0","0","2","7","0","5","2","0"
"Sneads","1,936","1","0","0","0","1","42","19","23","0","0"
"South Bay","4,667","73","2","2","16","53","168","63","92","13","0"
"South Daytona","13,529","56","2","5","10","39","474","95","339","40","1"
"South Miami","11,071","76","0","0","29","47","740","110","569","61","0"
"South Palm Beach","1,501","1","0","0","1","0","5","2","1","2","0"
"South Pasadena","5,634","19","0","1","6","12","197","31","156","10","1"
"Southwest Ranches","7,449","26","0","1","6","19","174","35","116","23","1"
"Springfield","8,963","46","1","3","8","34","355","77","258","20","2"
"Starke","5,896","44","1","0","7","36","272","15","233","24","0"
"St. Augustine","12,118","125","1","4","21","99","1,027","161","817","49","4"
"St. Augustine Beach","6,001","36","0","2","6","28","169","22","141","6","0"
"St. Cloud","24,791","180","1","1","21","157","1,155","259","834","62","1"
"St. Pete Beach","10,105","46","0","1","7","38","567","196","356","15","1"
"St. Petersburg","248,069","3,830","26","103","1,017","2,684","15,189","3,717","9,156","2,316","103"
"Stuart","16,385","97","1","6","21","69","884","110","716","58","2"
"Sunny Isles Beach","15,190","43","0","3","12","28","638","151","437","50","0"
"Sunrise","91,480","428","6","10","196","216","3,824","733","2,821","270","6"
"Surfside","4,599","20","0","1","5","14","154","30","113","11","0"
"Sweetwater","13,436","49","0","2","11","36","230","45","124","61","2"
"Tallahassee","159,943","1,813","5","136","568","1,104","8,396","2,588","5,202","606","62"
"Tamarac","61,366","235","4","14","86","131","1,279","351","813","115","5"
"Tampa","337,220","3,575","28","80","1,205","2,262","16,775","4,221","10,390","2,164","73"
"Tarpon Springs","23,523","239","3","4","41","191","846","217","575","54","5"
"Tavares","13,351","39","0","3","4","32","245","58","165","22","0"
"Temple Terrace","22,546","114","1","3","55","55","843","195","562","86","1"
"Tequesta","6,018","10","0","1","1","8","104","34","67","3","1"
"Titusville","44,467","373","5","33","90","245","1,794","475","1,054","265","18"
"Treasure Island","7,575","27","0","7","10","10","278","49","219","10","0"
"Trenton","1,866","11","0","0","1","10","57","14","40","3","0"
"Umatilla","2,812","7","0","1","0","6","74","4","66","4","0"
"Valparaiso","6,047","11","0","0","0","11","64","23","37","4","0"
"Venice","21,329","56","0","3","5","48","626","82","517","27","2"
"Vero Beach","16,840","84","0","6","24","54","707","196","482","29","13"
"Village of Pinecrest","19,027","46","0","2","17","27","774","86","658","30","0"
"Virginia Gardens","2,221","7","0","0","5","2","56","8","44","4","0"
"Wauchula","4,517","40","1","7","8","24","212","42","160","10","0"
"Webster","865","4","0","1","0","3","31","8","21","2","0"
"Welaka","714","1","0","0","1","0","9","1","7","1","0"
"Wellington","57,713","158","1","9","36","112","1,864","316","1,403","145","8"
"West Melbourne","16,012","32","0","1","6","25","519","264","226","29","2"
"West Miami","5,725","25","0","3","3","19","167","61","95","11","0"
"Weston","68,230","87","2","2","11","72","965","133","785","47","3"
"West Palm Beach","101,322","1,158","12","43","574","529","7,255","1,594","4,748","913","13"
"West Park","14,917","118","0","4","44","70","652","142","423","87","4"
"White Springs","825","6","0","0","0","6","19","8","11","0","1"
"Wildwood","3,211","75","0","4","4","67","202","71","125","6","3"
"Williston","2,833","52","0","3","1","48","126","31","87","8","0"
"Wilton Manors","12,937","92","0","2","43","47","655","139","460","56","2"
"Windermere","2,037","1","0","0","0","1","28","14","12","2","0"
"Winter Garden","29,284","235","3","3","59","170","1,271","282","852","137","0"
"Winter Haven","31,556","218","2","20","76","120","2,008","507","1,355","146","9"
"Winter Park","28,114","130","0","8","63","59","1,133","272","795","66","0"
"Winter Springs","32,817","80","0","6","12","62","451","102","313","36","2"
"Zephyrhills","12,998","81","0","7","23","51","918","236","627","55","2"
"Zolfo Springs","1,693","4","0","0","2","2","46","23","13","10","0"
