"City","Population","Violent
crime","Murder and
nonnegligent
manslaughter","Forcible 
rape","Robbery","Aggravated 
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Fairhope","17,180","10","0","5","3","2","419","95","308","16",""
"Falkville","1,166","1","0","0","0","1","34","9","25","0",""
"Fayette","4,672","16","1","1","5","9","181","26","142","13",""
"Flomaton","1,531","6","0","0","1","5","36","6","29","1",""
"Florala","1,899","5","0","0","2","3","60","14","43","3",""
"Florence","37,594","155","3","16","65","71","1,877","485","1,335","57",""
"Forkland","589","15","0","1","1","13","23","6","15","2",""
"Fort Payne","14,040","35","1","2","9","23","460","106","323","31",""
"Gadsden","36,700","288","2","36","135","115","2,452","575","1,716","161","25"
"Gantt","240","0","0","0","0","0","4","2","2","0",""
"Gardendale","13,626","27","1","1","11","14","534","77","437","20",""
"Geneva","4,399","21","0","0","4","17","183","57","113","13",""
"Georgiana","1,557","15","0","0","1","14","49","12","35","2",""
"Geraldine","837","4","0","0","0","4","35","6","28","1",""
"Gordo","1,556","14","1","0","0","13","44","23","18","3",""
"Grant","693","1","0","0","0","1","4","2","1","1",""
"Greenville","6,974","35","1","0","12","22","393","66","313","14",""
"Grove Hill","1,338","2","0","0","0","2","8","3","5","0",""
"Guin","2,176","9","0","1","0","8","27","9","16","2",""
"Gulf Shores","10,985","33","1","19","6","7","562","57","497","8",""
"Guntersville","8,351","58","0","2","14","42","708","146","535","27",""
"Gurley","855","1","0","0","0","1","22","5","16","1",""
"Hackleburg","1,445","4","0","1","0","3","37","12","24","1",""
"Haleyville","4,054","25","1","3","2","19","303","65","223","15",""
"Hamilton","6,331","12","0","1","5","6","215","54","153","8",""
"Hammondville","544","0","0","0","0","0","4","1","3","0",""
"Hanceville","3,367","17","0","2","3","12","135","22","110","3",""
"Hartselle","13,815","16","0","6","3","7","447","89","341","17",""
"Hayneville","1,112","11","0","0","0","11","53","24","23","6",""
"Headland","4,045","19","0","4","2","13","200","56","139","5",""
"Heflin","3,543","19","1","2","1","15","102","17","74","11",""
"Helena","14,701","28","0","3","0","25","118","30","84","4","0"
"Henagar","2,558","4","0","0","0","4","31","6","25","0",""
"Highland Lake","502","0","0","0","0","0","2","1","1","0",""
"Hillsboro","588","1","0","0","0","1","6","1","4","1",""
"Hokes Bluff","4,452","3","0","0","1","2","55","9","45","1",""
"Hollywood","918","0","0","0","0","0","9","1","8","0",""
"Homewood","23,771","165","1","13","116","35","1,545","326","1,136","83",""
"Hoover","70,731","111","2","13","62","34","2,315","436","1,761","118","2"
"Hueytown","15,708","58","1","3","24","30","706","176","475","55",""
"Huntsville","172,794","1,222","18","93","412","699","10,647","2,369","7,196","1,082",""
"Hurtsboro","550","0","0","0","0","0","7","3","3","1",""
"Ider","716","0","0","0","0","0","14","3","9","2",""
"Irondale","9,426","63","0","5","29","29","527","160","336","31",""
"Jacksonville","9,881","71","0","2","34","35","666","251","397","18",""
"Jasper","13,956","92","1","8","39","44","1,321","241","1,006","74",""
"Killen","1,134","5","0","0","1","4","73","19","54","0",""
"Kimberly","2,743","2","0","1","0","1","49","11","33","5",""
"Kinston","612","0","0","0","0","0","4","2","1","1",""
"Lafayette","3,013","29","0","1","3","25","174","37","128","9",""
"Lake View","2,206","2","0","0","0","2","69","18","42","9",""
"Lanett","7,420","85","2","11","45","27","754","222","490","42",""
"Leeds","11,285","98","5","7","35","51","582","134","399","49",""
"Leighton","828","8","0","1","0","7","17","6","11","0",""
"Level Plains","1,502","17","0","0","5","12","51","17","34","0",""
"Lexington","837","3","0","0","0","3","6","1","4","1",""
"Lincoln","5,601","47","0","4","1","42","322","82","213","27",""
"Linden","2,268","0","0","0","0","0","37","8","28","1",""
"Littleville","950","1","0","0","0","1","26","5","18","3",""
"Lockhart","545","1","0","0","1","0","4","0","3","1",""
"Louisville","560","0","0","0","0","0","0","0","0","0",""
"Luverne","2,763","14","0","0","1","13","90","14","72","4",""
"Lynn","717","0","0","0","0","0","16","8","7","1",""
"Madison","39,529","96","0","7","38","51","1,082","270","767","45",""
"Maplesville","690","1","0","0","0","1","48","3","41","4",""
"Marion","3,133","40","0","1","3","36","174","40","130","4",""
"McIntosh","233","2","1","0","0","1","17","3","11","3",""
"McKenzie","604","2","0","0","0","2","9","3","4","2",""
"Mentone","481","0","0","0","0","0","5","1","4","0",""
"Midfield","5,158","51","0","1","33","17","440","160","243","37",""
"Millbrook","17,249","19","1","4","11","3","529","97","425","7",""
"Millry","588","0","0","0","0","0","8","0","8","0",""
"Mobile2","251,041","1,204","42","27","875","260","13,846","3,305","9,470","1,071","116"
"Monroeville","6,373","85","0","3","7","75","561","139","380","42",""
"Montevallo","6,030","17","0","0","9","8","277","84","178","15",""
"Montgomery","204,398","883","23","49","463","348","12,545","3,513","8,117","915",""
"Moody","13,588","1","1","0","0","0","293","69","183","41",""
"Morris","1,904","1","0","0","1","0","25","4","20","1",""
"Mosses","1,038","0","0","0","0","0","1","0","1","0",""
"Moundville","2,571","15","0","1","0","14","94","23","59","12",""
"Mountain Brook","21,057","3","0","0","3","0","407","100","303","4",""
"Mount Vernon","817","22","0","1","2","19","30","5","24","1",""
"Muscle Shoals","12,925","78","0","3","19","56","635","128","487","20","0"
"Napier Field","394","2","0","1","0","1","9","7","1","1",""
"New Brockton","1,227","0","0","0","0","0","25","2","23","0",""
"New Hope","2,775","16","0","1","1","14","48","11","34","3",""
"Newton","1,648","3","0","0","0","3","69","12","51","6",""
"Newville","544","0","0","0","0","0","1","0","1","0",""
"North Courtland","797","1","0","0","0","1","16","4","11","1",""
"Northport","23,223","133","2","10","41","80","1,097","251","780","66",""
"Notasulga","832","6","0","1","0","5","22","10","12","0",""
"Oakman","924","1","0","0","0","1","28","5","23","0",""
"Odenville","1,264","9","0","2","1","6","54","12","37","5",""
"Oneonta","7,058","16","0","0","5","11","230","22","195","13",""
"Opelika","26,015","326","1","28","100","197","1,582","456","1,098","28",""
"Opp","6,662","18","0","3","3","12","182","23","159","0",""
"Orange Beach","6,589","15","0","5","0","10","344","57","281","6",""
"Owens Crossroads","1,491","3","0","0","0","3","37","11","24","2",""
"Oxford","20,511","103","1","12","47","43","1,191","179","957","55",""
"Ozark","14,584","89","0","7","23","59","713","154","514","45",""
"Pelham","21,532","31","1","5","12","13","485","50","406","29",""
"Pell City","12,898","66","0","9","8","49","681","85","578","18",""
"Phenix City","30,952","97","0","6","40","51","1,174","342","649","183",""
"Phil Campbell","1,035","0","0","0","0","0","19","4","14","1",""
"Piedmont","4,962","36","0","1","2","33","208","48","151","9",""
"Pine Hill","905","8","0","0","0","8","28","9","19","0",""
"Pisgah","693","0","0","0","0","0","4","0","4","0",""
"Pleasant Grove","10,299","15","1","0","5","9","247","87","139","21",""
"Powell","975","1","0","0","0","1","21","4","16","1",""
"Prattville","32,849","94","1","12","23","58","1,291","244","988","59","14"
"Priceville","2,659","4","0","0","1","3","76","8","67","1",""
"Prichard","27,691","331","11","3","161","156","1,845","602","923","320",""
"Ragland","2,125","3","0","1","0","2","16","1","13","2",""
"Rainbow City","9,276","3","1","0","2","0","265","41","215","9",""
"Rainsville","4,950","13","0","2","0","11","131","17","107","7",""
"Ranburne","481","0","0","0","0","0","23","5","17","1",""
"Red Bay","3,242","9","0","0","0","9","60","8","45","7",""
"Red Level","554","1","0","0","0","1","9","3","6","0",""
"Reform","1,786","11","0","0","2","9","61","18","40","3",""
"Riverside","2,023","10","0","1","0","9","18","6","11","1",""
"Roanoke","6,618","23","0","8","5","10","222","27","187","8",""
"Robertsdale","5,018","13","1","5","1","6","282","45","228","9",""
"Rockford","392","0","0","0","0","0","8","3","5","0",""
"Russellville","8,758","40","1","3","11","25","334","64","255","15",""
"Samson","2,006","3","0","1","0","2","46","13","29","4",""
"Saraland","12,893","37","0","0","18","19","321","89","214","18",""
"Sardis City","2,177","2","0","0","0","2","67","26","38","3",""
"Satsuma","6,029","11","0","2","1","8","120","21","81","18",""
"Selma","18,772","286","5","20","66","195","2,131","578","1,350","203",""
"Sheffield","9,118","69","2","7","27","33","671","169","474","28",""
"Silas","472","0","0","0","0","0","5","4","1","0",""
"Silverhill","695","1","0","1","0","0","15","8","7","0",""
"Sipsey","540","1","0","0","1","0","30","8","19","3",""
"Skyline","831","1","0","0","0","1","16","2","14","0",""
"Slocomb","2,033","7","0","0","2","5","57","13","40","4",""
"Snead","846","5","0","0","0","5","25","4","18","3",""
"Southside","8,441","9","0","2","0","7","86","18","64","4",""
"Spanish Fort","5,831","13","0","1","6","6","220","38","181","1",""
"Stevenson","2,003","36","0","0","0","36","108","19","73","16",""
"St. Florian","491","3","0","1","0","2","16","10","6","0",""
"Sulligent","1,960","5","0","0","1","4","51","11","33","7",""
"Sumiton","2,541","7","0","2","5","0","327","47","256","24",""
"Sylacauga","12,876","57","0","7","14","36","836","214","600","22",""
"Sylvania","1,266","0","0","0","0","0","16","8","8","0",""
"Tallassee","5,144","44","1","2","5","36","331","64","254","13",""
"Taylor","1,980","0","0","0","0","0","6","2","4","0",""
"Thomasville","4,474","32","0","2","0","30","236","37","189","10",""
"Thorsby","2,068","0","0","0","0","0","13","5","7","1",""
"Town Creek","1,206","0","0","0","0","0","31","9","22","0",""
"Triana","493","1","0","0","0","1","20","12","6","2",""
"Trinity","1,914","5","1","1","0","3","38","11","19","8",""
"Troy","14,538","72","2","1","45","24","877","222","626","29",""
"Trussville","19,199","28","0","2","22","4","951","101","811","39",""
"Tuscaloosa","90,157","470","11","28","199","232","5,396","1,513","3,553","330",""
"Tuscumbia","8,275","15","0","1","7","7","240","73","161","6",""
"Tuskegee","11,287","163","4","10","29","120","873","362","494","17",""
"Union Springs","4,566","17","0","0","6","11","156","34","114","8",""
"Uniontown","1,413","37","0","1","9","27","63","23","33","7",""
"Valley","8,774","59","0","8","18","33","638","146","475","17",""
"Valley Head","649","1","0","0","0","1","19","6","12","1",""
"Vance","839","3","0","0","0","3","39","11","25","3",""
"Vernon","1,886","5","0","0","3","2","26","10","14","2",""
"Vestavia Hills","31,055","28","0","3","13","12","328","106","204","18",""
"Warrior","3,003","6","0","0","3","3","78","9","62","7",""
"Weaver","2,686","4","0","0","0","4","60","20","39","1",""
"Webb","1,361","1","0","0","0","1","5","1","4","0",""
"Wedowee","815","0","0","0","0","0","0","0","0","0",""
"West Blocton","1,425","0","0","0","0","0","1","0","1","0",""
"Wetumpka","7,840","23","0","1","3","19","427","95","325","7",""
"Winfield","4,651","13","0","2","0","11","185","26","142","17",""
"Woodstock","1,023","3","0","2","1","0","98","26","54","18",""
"York","2,489","10","0","0","0","10","75","20","52","3",""
