"City","Population","Violent
crime","Murder and 
nonnegligent 
manslaughter","Forcible 
rape","Robbery","Aggravated 
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Sarasota","51,818","582","8","22","196","356","3,666","815","2,662","189","12"
"Satellite Beach","11,636","25","0","4","4","17","263","88","162","13","1"
"Sea Ranch Lakes","733","1","0","0","1","0","10","0","9","1","0"
"Sebastian","20,667","47","0","5","3","39","556","148","399","9","4"
"Sebring","10,746","85","0","5","17","63","682","282","376","24","11"
"Seminole","19,031","70","0","5","18","47","747","131","582","34","3"
"Sewall's Point","1,989","2","0","0","0","2","24","2","21","1","0"
"Shalimar","699","0","0","0","0","0","12","3","9","0","0"
"Sneads","1,928","4","0","0","1","3","15","1","11","3","0"
"South Bay","4,541","60","0","2","8","50","175","54","107","14","0"
"South Daytona","13,690","54","0","6","13","35","494","162","290","42","0"
"South Miami","10,644","111","1","3","46","61","773","137","597","39","1"
"South Palm Beach","1,453","0","0","0","0","0","4","0","3","1","0"
"South Pasadena","5,507","12","0","0","4","8","196","28","163","5","1"
"Southwest Ranches","7,191","30","0","0","5","25","202","39","147","16","0"
"Springfield","8,742","74","0","3","16","55","393","180","178","35","0"
"Starke","5,892","30","0","0","3","27","200","19","168","13","0"
"St. Augustine","12,191","140","0","6","8","126","844","102","715","27","2"
"St. Augustine Beach","6,099","16","0","2","1","13","206","36","164","6","0"
"St. Cloud","27,810","196","0","7","17","172","1,005","266","694","45","16"
"St. Pete Beach","9,870","59","0","2","14","43","546","191","349","6","1"
"St. Petersburg","243,111","3,368","20","110","1,095","2,143","15,404","4,232","9,711","1,461","83"
"Stuart","15,938","82","1","7","22","52","856","128","684","44","3"
"Sunny Isles Beach","16,185","33","1","6","11","15","641","129","474","38","0"
"Sunrise","89,139","416","1","15","186","214","3,900","771","2,844","285","8"
"Surfside","4,439","34","0","1","2","31","136","21","107","8","0"
"Sweetwater","12,897","49","0","2","9","38","253","52","150","51","0"
"Tallahassee","168,984","1,908","8","133","642","1,125","8,968","2,804","5,660","504","57"
"Tamarac","59,423","265","1","18","90","156","1,415","393","892","130","2"
"Tampa","336,911","2,975","27","83","1,056","1,809","15,498","4,098","9,648","1,752","131"
"Tarpon Springs","23,564","193","1","8","34","150","795","195","568","32","4"
"Tavares","14,037","69","2","5","12","50","314","64","228","22","0"
"Temple Terrace","22,304","156","0","6","56","94","927","230","629","68","0"
"Tequesta","5,855","9","0","0","1","8","113","31","79","3","0"
"Titusville","43,769","344","3","39","86","216","1,983","569","1,099","315","12"
"Treasure Island","7,412","20","0","2","8","10","270","52","211","7","0"
"Trenton","1,848","9","0","0","5","4","83","35","43","5","0"
"Umatilla","2,943","10","0","0","1","9","88","11","73","4","0"
"Valparaiso","6,224","4","0","1","0","3","76","20","53","3","0"
"Venice","21,086","48","0","1","5","42","679","109","545","25","4"
"Vero Beach","16,689","86","0","4","29","53","689","147","526","16","0"
"Village of Pinecrest","18,416","34","0","2","22","10","787","84","655","48","0"
"Virginia Gardens","2,143","2","0","0","0","2","34","5","26","3","0"
"Wauchula","4,509","23","0","3","3","17","173","65","101","7","0"
"Webster","889","14","0","0","0","14","40","10","26","4","0"
"Welaka","809","0","0","0","0","0","12","6","5","1","0"
"Wellington","56,081","191","0","11","49","131","1,766","347","1,325","94","8"
"West Melbourne","15,745","49","0","0","17","32","655","367","248","40","5"
"West Miami","5,484","19","0","0","10","9","205","65","115","25","1"
"Weston","65,288","89","0","2","22","65","993","163","789","41","0"
"West Palm Beach","100,434","967","18","47","446","456","5,845","1,445","3,887","513","20"
"West Park","14,371","129","1","5","37","86","670","184","400","86","1"
"White Springs","818","12","0","0","0","12","38","15","22","1","0"
"Wildwood","3,760","51","0","5","5","41","227","71","145","11","2"
"Williston","2,783","38","0","1","0","37","127","21","96","10","0"
"Wilton Manors","12,567","104","0","3","50","51","700","168","485","47","1"
"Windermere","2,032","0","0","0","0","0","61","1","56","4","0"
"Winter Garden","30,577","264","2","12","49","201","1,297","282","905","110","4"
"Winter Haven","32,886","287","5","20","78","184","2,273","472","1,598","203","19"
"Winter Park","27,613","120","1","8","46","65","1,232","312","859","61","6"
"Winter Springs","32,789","62","0","5","6","51","485","111","334","40","3"
"Zephyrhills","13,092","69","0","8","20","41","964","184","748","32","0"
"Zolfo Springs","1,740","2","0","0","0","2","25","8","15","2","0"
