"City","Population","Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson1"
"Kensett","1,820","7","0","3","0","4","29","9","17","3","0"
"Lakeview","857","0","0","0","0","0","3","0","2","1","0"
"Lake Village","2,413","57","1","3","1","52","72","45","27","0","4"
"Leachville","1,781","4","0","3","0","1","23","9","12","2","0"
"Lepanto","2,020","3","0","1","0","2","43","23","17","3","1"
"Lincoln","2,077","5","0","1","0","4","22","6","16","0","1"
"Little Flock","3,132","4","0","3","0","1","22","7","15","0","0"
"Little Rock","187,978","2,356","40","132","819","1,365","15,003","3,576","10,272","1,155","89"
"Lonoke","4,536","13","0","1","4","8","178","55","117","6","1"
"Lowell","7,274","20","1","3","0","16","122","41","72","9","1"
"Luxora","1,202","6","0","1","1","4","15","7","5","3","0"
"Magnolia","11,083","69","0","5","15","49","487","234","225","28","6"
"Marked Tree","2,632","1","0","0","1","0","66","10","55","1","0"
"Marmaduke","1,176","4","1","1","0","2","60","21","36","3","0"
"Maumelle","16,657","30","0","3","4","23","328","166","145","17","0"
"Mayflower","2,207","5","0","0","0","5","101","22","75","4","0"
"McCrory","1,560","0","0","0","0","0","17","6","10","1","1"
"McRae","701","1","0","0","0","1","43","20","19","4","1"
"Mena2","5,581","17","0","4","0","13","273","83","187","3","0"
"Mineral Springs","1,255","2","0","0","0","2","23","13","9","1","0"
"Monette","1,223","0","0","0","0","0","17","4","12","1","0"
"Monticello","9,379","31","0","4","6","21","442","133","275","34","2"
"Morrilton","6,582","27","0","7","2","18","524","107","399","18","3"
"Mountain Home","12,637","4","0","3","1","0","482","56","412","14","0"
"Mountain View","3,081","5","0","0","2","3","88","22","62","4","0"
"Mulberry","1,732","2","0","0","0","2","16","8","8","0","0"
"Nashville","4,746","21","1","1","2","17","286","92","184","10","0"
"Newport2","7,493","42","0","9","5","28","468","94","362","12","3"
"North Little Rock","59,369","810","11","36","274","489","6,107","1,527","4,137","443","12"
"Ola","1,230","8","0","0","0","8","24","19","5","0","0"
"Osceola","7,760","165","3","13","16","133","414","155","237","22","5"
"Ozark","3,562","19","1","2","0","16","95","15","72","8","1"
"Paragould","24,816","114","0","9","7","98","1,776","582","1,122","72","3"
"Paris","3,612","18","1","1","1","15","146","44","89","13","2"
"Pea Ridge","4,686","6","0","2","0","4","85","40","42","3","0"
"Piggott","3,515","7","0","1","1","5","71","42","29","0","0"
"Pine Bluff","50,144","819","16","71","248","484","4,674","1,596","2,648","430","27"
"Plummerville","867","4","0","1","0","3","18","11","7","0","0"
"Pottsville","2,838","13","0","1","0","12","50","36","12","2","0"
"Prairie Grove","3,754","13","0","2","0","11","51","14","34","3","0"
"Prescott2","4,571","6","0","0","0","6","90","47","36","7","0"
"Quitman","739","0","0","0","0","0","22","6","14","2","0"
"Rison","1,306","2","0","0","2","0","28","14","13","1","0"
"Rogers2","57,205","142","2","39","15","86","1,939","399","1,494","46","5"
"Rose Bud","453","0","0","0","0","0","5","2","2","1","0"
"Russellville","27,059","109","0","19","15","75","1,376","300","989","87","4"
"Searcy2","22,062","48","0","8","10","30","1,212","419","774","19","3"
"Sheridan","4,668","10","0","2","0","8","127","38","87","2","0"
"Sherwood","24,486","91","0","11","16","64","1,017","199","743","75","4"
"Siloam Springs2","14,988","31","0","11","1","19","398","100","272","26","2"
"Springdale","69,759","295","1","65","21","208","2,527","587","1,790","150","20"
"Star City","2,213","3","0","1","0","2","28","10","18","0","0"
"Stuttgart","8,969","65","1","6","13","45","579","210","355","14","10"
"Texarkana","29,855","513","2","16","75","420","1,812","450","1,249","113","12"
"Trumann","6,792","69","2","14","3","50","518","169","346","3","4"
"Van Buren","22,396","43","0","5","5","33","763","203","546","14","4"
"Vilonia","3,515","12","0","3","0","9","113","28","84","1","1"
"Waldron","3,597","21","0","0","0","21","84","54","27","3","2"
"Walnut Ridge","4,640","20","0","0","0","20","81","42","39","0","1"
"Ward","3,806","21","1","2","0","18","120","40","77","3","1"
"Warren","6,115","36","0","4","5","27","133","88","38","7","0"
"West Fork","2,358","3","0","0","0","3","36","15","21","0","0"
"West Memphis","27,446","623","3","32","121","467","2,551","1,188","1,185","178","17"
"White Hall2","5,152","15","0","0","0","15","129","13","101","15","1"
"Wynne","8,334","50","0","7","8","35","377","155","209","13","2"
