"City","Population","Violent 
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated 
assault","Property
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson1"
"Green Mountain Falls","800","9","0","0","0","9","20","12","6","2","0"
"Greenwood Village","14,285","26","0","3","10","13","636","107","486","43","9"
"Gunnison","5,407","25","0","1","3","21","330","46","276","8","2"
"Haxtun","971","2","0","0","0","2","1","0","1","0","0"
"Hotchkiss","1,081","8","0","5","0","3","38","9","25","4","0"
"Idaho Springs","1,734","20","0","1","1","18","87","10","69","8","0"
"Ignacio","627","6","0","0","0","6","4","3","1","0","0"
"Johnstown","9,608","20","0","3","2","15","116","30","79","7","1"
"Kersey","1,450","2","0","0","0","2","34","5","26","3","0"
"Kiowa","576","8","0","0","1","7","17","7","10","0","0"
"Lafayette","25,091","47","0","2","6","39","502","81","397","24","14"
"La Junta","6,974","25","0","5","2","18","311","79","216","16","5"
"Lakeside","19","1","0","0","1","0","25","2","20","3","0"
"Lakewood","139,803","723","1","86","194","442","5,959","909","4,390","660","43"
"Lamar","7,905","27","0","1","4","22","291","58","224","9","2"
"La Salle","1,966","5","0","0","0","5","36","3","29","4","0"
"Las Animas","2,289","10","0","1","1","8","74","15","56","3","0"
"La Veta","849","0","0","0","0","0","2","2","0","0","0"
"Leadville","2,719","15","0","0","0","15","57","10","46","1","0"
"Limon","1,731","9","0","1","2","6","13","0","11","2","0"
"Littleton","40,676","64","0","9","24","31","1,267","217","916","134","5"
"Log Lane Village","981","1","0","1","0","0","0","0","0","0","0"
"Lone Tree","9,488","12","0","6","4","2","553","51","484","18","0"
"Louisville","18,794","9","0","0","4","5","258","49","189","20","5"
"Loveland","66,204","109","1","23","20","65","1,797","291","1,431","75","19"
"Mancos","1,255","25","0","1","2","22","27","8","18","1","0"
"Manitou Springs","5,130","14","0","3","2","9","144","23","119","2","1"
"Meeker","2,333","16","0","0","0","16","90","18","68","4","0"
"Milliken","6,584","12","0","2","0","10","47","8","38","1","0"
"Minturn","1,187","3","0","0","1","2","16","4","8","4","2"
"Monte Vista","3,954","21","1","5","3","12","102","29","72","1","0"
"Montrose","17,895","48","0","6","8","34","805","114","661","30","4"
"Monument","2,651","9","0","4","0","5","164","35","129","0","1"
"Morrison","411","0","0","0","0","0","3","0","2","1","0"
"Mountain View","514","0","0","0","0","0","11","2","4","5","0"
"Mount Crested Butte","849","7","0","0","0","7","31","3","25","3","1"
"New Castle","3,809","19","0","1","0","18","89","19","63","7","4"
"Northglenn","33,668","119","1","25","19","74","1,310","194","950","166","9"
"Olathe","1,750","0","0","0","0","0","27","6","17","4","0"
"Ouray","913","3","0","2","0","1","22","6","16","0","0"
"Pagosa Springs","1,735","2","0","0","0","2","92","14","63","15","0"
"Palmer Lake","2,316","2","0","0","0","2","29","6","19","4","0"
"Parachute","1,295","5","0","2","1","2","48","9","26","13","2"
"Parker","45,825","49","2","11","6","30","653","148","470","35","6"
"Platteville","2,641","3","0","3","0","0","51","7","35","9","0"
"Rangely","2,106","7","0","1","0","6","33","4","27","2","0"
"Rocky Ford","3,948","11","0","0","0","11","104","34","68","2","5"
"Salida","5,320","4","0","1","0","3","143","33","105","5","0"
"Sheridan","5,395","25","0","2","5","18","360","42","265","53","4"
"Silt","2,663","3","0","0","0","3","47","11","34","2","1"
"Silverthorne","4,024","12","0","2","1","9","370","6","362","2","1"
"Snowmass Village","1,832","1","0","0","0","1","87","10","75","2","0"
"Steamboat Springs","9,470","56","0","6","0","50","470","99","346","25","0"
"Sterling","12,932","34","0","6","1","27","353","72","267","14","9"
"Telluride","2,378","11","0","0","1","10","168","10","147","11","0"
"Thornton","114,923","371","4","55","74","238","3,724","672","2,660","392","24"
"Trinidad","9,101","40","3","1","4","32","279","65","204","10","2"
"Vail","4,760","9","0","0","0","9","366","35","320","11","1"
"Victor","407","1","0","0","0","1","6","1","4","1","0"
"Westminster","106,810","284","2","44","62","176","3,534","467","2,622","445","19"
"Wheat Ridge","30,582","150","0","22","29","99","1,348","231","933","184","12"
"Wiggins","956","2","0","0","0","2","3","2","0","1","0"
"Windsor","18,476","15","1","1","2","11","322","68","238","16","4"
"Woodland Park","6,568","2","0","0","0","2","100","18","77","5","2"
"Wray","2,098","0","0","0","0","0","4","0","4","0","0"
"Yuma","3,258","7","0","0","1","6","89","37","48","4","2"
